Resource title,Resource URL,Government supports/external,Tag 1,Tag 2,Tag 3,Tag 4,Priority
SG Chapter: Active living,,,,,,,
Seniors Active Living Centres,https://www.ontario.ca/page/find-seniors-active-living-centre-near-you,Government supports,Activities and social connections,Travel and recreation ,Education and lifelong learning,Caregiving,Yes
Older Adult Associations of Ontario,http://www.oacao.org/,External,Activities and social connections,Travel and recreation ,Education and lifelong learning,Volunteering  ,
Public libraries,http://www.olservice.ca/,External,Activities and social connections,Education and lifelong learning,,,Yes
Staying healthy and active,https://www.ontario.ca/document/guide-programs-and-services-seniors/active-living,Government supports,Activities and social connections,Travel and recreation ,Healthcare and medication,Mental health,Yes
Ontario senior games,https://osga55plus.ca/,External,Activities and social connections,Travel and recreation ,,,
Ontario parks,https://www.ontarioparks.com/,External,Activities and social connections,Travel and recreation ,,,
Fishing and hunting,https://www.ontario.ca/page/get-outdoors-card-and-licence-summary,Government supports,Travel and recreation ,,,,
Travelling in Ontario,https://www.destinationontario.com/en-ca,External,Travel and recreation ,,,,
Travelling outside Ontario or Canada,https://www.ontario.ca/document/guide-programs-and-services-seniors/active-living,Government supports,Travel and recreation ,,,,
Retirement abroad,https://travel.gc.ca/travelling/living-abroad/retiring,Government supports,Travel and recreation ,Home and housing ,Financial information and supports,Healthcare and medication,
The Life Institute,https://thelifeinstitute.ca/page/aboutus,External,Activities and social connections,Education and lifelong learning,Volunteering  ,,
Ontario Trillium Foundation,https://www.otf.ca/who-we-are/volunteering,External,Activities and social connections,Volunteering  ,,,
Ontario Volunteer Centre Network,https://www.ontario.ca/page/volunteering-ontario,Government supports,Volunteering  ,Activities and social connections,,,
Red Cross,https://www.redcross.ca/volunteer,External,Activities and social connections,Volunteering  ,,,
United Way,https://www.unitedway.ca/how-we-help/find-your-uwc/,External,Activities and social connections,Volunteering  ,,,
Volunteer Canada,https://www.volunteer.ca/,External,Volunteering  ,Activities and social connections,,,
Volunteer Corps Ontario,https://www.ontario.ca/page/volunteer-corps-ontario,Government supports,Volunteering  ,Activities and social connections,,,
Congratulatory messages,https://www.ontario.ca/document/guide-programs-and-services-seniors/active-living,Government supports,Achievements and recognition,,,,
Awards honouring seniors,https://www.ontario.ca/page/honours-and-awards-community,Government supports,Achievements and recognition,,,,
Annual events celebrating seniors,https://www.ontario.ca/document/guide-programs-and-services-seniors/active-living,Government supports,Achievements and recognition,,,,
