Resource title,Resource URL,Government supports/external,Tag 1,Tag 2,Tag 3,Tag 4,Priority
SG Chapter: Active living,,,,,,,
Seniors Active Living Centres,https://www.ontario.ca/page/find-seniors-active-living-centre-near-you,Results from government,Activities and social connections,Travel and recreation ,Education and lifelong learning,Caregiving,Yes
Older Adult Associations of Ontario,http://www.oacao.org/,Results from other organizations,Activities and social connections,Travel and recreation ,Education and lifelong learning,Volunteering  ,
Public libraries,http://www.olservice.ca/,Results from other organizations,Activities and social connections,Education and lifelong learning,,,Yes
Staying healthy and active,https://www.ontario.ca/document/guide-programs-and-services-seniors/active-living,Results from government,Activities and social connections,Travel and recreation ,Healthcare and medication,Mental health,Yes
Ontario senior games,https://osga55plus.ca/,Results from other organizations,Activities and social connections,Travel and recreation ,,,
Ontario parks,https://www.ontarioparks.com/,Results from other organizations,Activities and social connections,Travel and recreation ,,,
Fishing and hunting,https://www.ontario.ca/page/get-outdoors-card-and-licence-summary,Results from government,Travel and recreation ,,,,
Travelling in Ontario,https://www.destinationontario.com/en-ca,Results from other organizations,Travel and recreation ,,,,
Travelling outside Ontario or Canada,https://www.ontario.ca/document/guide-programs-and-services-seniors/active-living,Results from government,Travel and recreation ,,,,
Retirement abroad,https://travel.gc.ca/travelling/living-abroad/retiring,Results from government,Travel and recreation ,Home and housing ,Financial information and supports,Healthcare and medication,
The Life Institute,https://thelifeinstitute.ca/page/aboutus,Results from other organizations,Activities and social connections,Education and lifelong learning,Volunteering  ,,
Ontario Trillium Foundation,https://www.otf.ca/who-we-are/volunteering,Results from other organizations,Activities and social connections,Volunteering  ,,,
Ontario Volunteer Centre Network,https://www.ontario.ca/page/volunteering-ontario,Results from government,Volunteering  ,Activities and social connections,,,
Red Cross,https://www.redcross.ca/volunteer,Results from other organizations,Activities and social connections,Volunteering  ,,,
United Way,https://www.unitedway.ca/how-we-help/find-your-uwc/,Results from other organizations,Activities and social connections,Volunteering  ,,,
Volunteer Canada,https://www.volunteer.ca/,Results from other organizations,Volunteering  ,Activities and social connections,,,
Volunteer Corps Ontario,https://www.ontario.ca/page/volunteer-corps-ontario,Results from government,Volunteering  ,Activities and social connections,,,
Congratulatory messages,https://www.ontario.ca/document/guide-programs-and-services-seniors/active-living,Results from government,Achievements and recognition,,,,
Awards honouring seniors,https://www.ontario.ca/page/honours-and-awards-community,Results from government,Achievements and recognition,,,,
Annual events celebrating seniors,https://www.ontario.ca/document/guide-programs-and-services-seniors/active-living,Results from government,Achievements and recognition,,,,
Newcomer settlement program,https://www.ontario.ca/page/getting-settled-ontario,Results from government,Activities and social connections,Healthcare and medication,Employment,Home and housing ,
Mouvement Ontarien des Femmes Immigrantes Francophones (MOFIF),http://mofif.ca/,Results from other organizations,Activities and social connections,Education and lifelong learning,Travel and recreation ,Francophone supports ,
Settlement.Org,https://settlement.org/,Results from other organizations,Activities and social connections,Home and housing ,Employment,Legal support,
Learning English or French,https://www.ontario.ca/page/improve-your-english-and-french,Results from government,Education and lifelong learning,Employment,Francophone supports ,,
