Titre de la ressource,Description de la ressource,URL de la ressource,Interne/Externe,Catégorie,Sous-catégorie
Organisme de soutien aux aidants naturels de l’Ontario,"Parcourez cette ressource complète pour obtenir des renseignements et un soutien, notamment par le biais d’une ligne d’assistance joignable 24 heures sur 24, 7 jours sur 7. Composez le 1 833 416-2273 ou clavardez en ligne. ",https://ontariocaregiver.ca/fr/pour-aidants-naturels/,Externe,la prestation de soins,Soutien aux aidants naturels 
Soutien à domicile et en milieu communautaire ,Découvrez comment obtenir de l’aide pour des membres de votre famille ou des patients qui ont besoin d’un soutien à domicile. ,https://www.ontario.ca/fr/page/soins-domicile-en-milieu-communautaire,Interne,la prestation de soins,Soutien aux aidants naturels 
Soins de relève,"Si vous êtes une aidante naturelle ou un aidant naturel, demandez une relève pour prendre une pause. En votre absence, soit une préposée ou un préposé aux services de soutien à la personne soit une professionnelle ou un professionnel de soins de santé peut fournir des services par le biais de l’Assurance-santé de l’Ontario. ",https://www.ontario.ca/fr/page/soins-de-releve,Interne,la prestation de soins,Soutien aux aidants naturels 
Crédit d’impôt pour personnes handicapées,Obtenez un crédit d’impôt si vous soutenez des membres de votre famille ayant une déficience grave et prolongée. ,https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/segments/deductions-credits-impot-personnes-handicapees/credit-impot-personnes-handicapees.html,Externe,la prestation de soins,Crédits d’impôt 
Crédit d’impôt pour frais médicaux ,"Obtenez un crédit d’impôt si vous subvenez aux besoins de membres de votre famille et que vous avez payé des fournitures médicales, des soins dentaires ou des frais de déplacement. ",https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/sujets/tout-votre-declaration-revenus/declaration-revenus/remplir-declaration-revenus/deductions-credits-depenses/lignes-33099-33199-frais-medicaux-admissibles-vous-pouvez-demander-votre-declaration-revenus.html,Externe,la prestation de soins,Crédits d’impôt 
Crédit canadien pour aidant naturel,Obtenez un crédit d’impôt non remboursable si vous subvenez soit aux besoins de votre conjointe ou conjoint en droit ou de fait soit à ceux d’une personne à charge ayant une déficience physique ou mentale. ,https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/sujets/tout-votre-declaration-revenus/declaration-revenus/remplir-declaration-revenus/deductions-credits-depenses/montant-aidants-naturels.html,Externe,la prestation de soins,Crédits d’impôt 
Crédit d’impôt de l’Ontario pour les soins à domicile à l’intention des aînés,"Obtenez un crédit d’impôt si vous aidez des personnes âgées à revenu faible ou modeste à payer des frais médicaux admissibles, notamment pour des prothèses auditives, des lits d’hôpitaux et des soins auxiliaires. ",https://www.ontario.ca/fr/page/credit-dimpot-de-lontario-pour-les-soins-domicile-lintention-des-aines,Interne,la prestation de soins,Crédits d’impôt 
Prestations aux aidants naturels,"Si vous devez vous absenter du travail pour fournir des soins ou apporter du soutien à une personne de votre famille gravement malade ou blessée qui présente un risque élevé de décès, vous pourriez être admissible à ces prestations.  

Congés familiaux 

Obtenez un congé non payé avec protection de l’emploi pour fournir des soins ou apporter du soutien à des membres de votre famille ou à d’autres personnes admissibles. 

Congé familial pour les aidants naturels  

Congé familial pour raison médicale  

 

Autres renseignements en matière d’impôts et de prestations 

Trouvez des crédits d’impôt, des incitatifs et des prestations qui vous aideront à vous occuper d’autres personnes : 

Impôts et avantages fiscaux au Canada  

Impôts et avantages fiscaux en Ontario  ",https://www.canada.ca/fr/services/prestations/ae/proches-aidants.html,Externe,la prestation de soins,Prestations d’emploi 
Que faire lorsque quelqu’un décède ,Trouvez les réponses à des questions courantes sur les formalités à remplir et le soutien offert lorsqu’une personne proche décède en Ontario. ,https://www.ontario.ca/fr/page/que-faire-lorsque-quelquun-decede,Interne,la prestation de soins,Décisions relatives à la fin de vie
Funérailles et dispositions ,"Renseignez-vous sur la planification de funérailles, d’un enterrement, d’une crémation ou d’une dispersion et apprenez quoi faire si vous découvrez un lieu de sépulture. ",https://www.ontario.ca/fr/page/protection-du-consommateur-pour-les-services-funeraires,Interne,la prestation de soins,Décisions relatives à la fin de vie
